outcome,player,league,season,apps,goals,club,name_source,transfermarkt_name
ambiguous,"Jamaal Lascelles","Championship",2011,1,0,,,"Nott'm Forest | Stevenage"
no-candidates,"James McCarthy","Championship",2006,23,1,,,""
no-candidates,"James McCarthy","Championship",2007,36,6,,,""
no-candidates,"James Morrison","UEFA Europa League",2004,5,3,,,""
no-candidates,"James Morrison","UEFA Europa League",2005,9,0,,,""
no-candidates,"James Morrison","Championship",2007,35,4,,,""
no-candidates,"James Morrison","Championship",2009,11,1,,,""
no-candidates,"James Morrison","Championship",2018,19,0,,,""
ambiguous,"James Tavernier","Championship",2014,11,0,,,"Wigan | Bristol City"
ambiguous,"Jan Vertonghen","UEFA Europa League",2006,2,0,,,"Ajax | RKC Waalwijk"
ambiguous,"Jan Vertonghen","Eredivisie",2006,12,3,,,"Ajax | RKC Waalwijk"
no-candidates,"Javier Mascherano","UEFA Europa League",2006,2,0,,,""
no-candidates,"Javier Saviola","UEFA Europa League",2003,7,3,,,""
no-candidates,"Javier Saviola","UEFA Europa League",2005,12,6,,,""
no-candidates,"Javier Saviola","Primeira Liga",2009,27,11,,,""
no-candidates,"Javier Saviola","Primeira Liga",2010,24,9,,,""
no-candidates,"Javier Saviola","Primeira Liga",2011,18,4,,,""
no-candidates,"Javier Zanetti","Serie A",1995,32,2,,,""
no-candidates,"Javier Zanetti","UEFA Europa League",1995,2,0,,,""
no-candidates,"Javier Zanetti","UEFA Europa League",1996,12,0,,,""
no-candidates,"Javier Zanetti","UEFA Europa League",1997,9,2,,,""
no-candidates,"Javier Zanetti","UEFA Europa League",2000,4,0,,,""
no-candidates,"Javier Zanetti","UEFA Europa League",2001,10,1,,,""
no-candidates,"Javier Zanetti","UEFA Europa League",2003,6,0,,,""
no-candidates,"Javi García","Primeira Liga",2009,26,3,,,""
no-candidates,"Javi García","Primeira Liga",2010,24,2,,,""
no-candidates,"Javi García","Primeira Liga",2011,22,1,,,""
no-candidates,"Javi García","Primeira Liga",2012,2,0,,,""
no-candidates,"Javi García","Primeira Liga",2020,21,1,,,""
no-candidates,"Javi García","Primeira Liga",2021,18,1,,,""
no-candidates,"Jay Stansfield","Championship",2019,1,0,,,""
no-candidates,"Jay Stansfield","Championship",2021,1,0,,,""
no-candidates,"Jean-Kévin Augustin","Championship",2019,3,0,,,""
no-candidates,"Jean Makoun","UEFA Europa League",2004,6,0,,,""
no-candidates,"Jean Makoun","UEFA Europa League",2005,3,0,,,""
no-candidates,"Jean Makoun","Süper Lig",2015,25,3,,,""
no-candidates,"Jean Makoun","Süper Lig",2016,8,1,,,""
no-candidates,"Jean Seri","Primeira Liga",2013,21,1,,,""
no-candidates,"Jean Seri","Primeira Liga",2014,33,1,,,""
no-candidates,"Jean Seri","Süper Lig",2019,27,2,,,""
no-candidates,"Jean Seri","Championship",2021,33,1,,,""
no-candidates,"Jean Seri","Championship",2022,37,1,,,""
no-candidates,"Jean Seri","Championship",2023,39,1,,,""
no-candidates,"Jean Seri","Saudi Pro League",2024,5,1,,,""
no-candidates,"Jefferson Farfán","Eredivisie",2004,28,8,,,""
no-candidates,"Jefferson Farfán","Eredivisie",2005,31,21,,,""
no-candidates,"Jefferson Farfán","Eredivisie",2006,30,21,,,""
no-candidates,"Jefferson Farfán","UEFA Europa League",2007,3,1,,,""
no-candidates,"Jefferson Farfán","Eredivisie",2007,29,7,,,""
no-candidates,"Jefferson Farfán","UEFA Europa League",2008,5,0,,,""
ambiguous,"Jeremiah St. Juste","Eredivisie",2017,15,2,,,"Heerenveen | Feyenoord"
no-candidates,"Jérémy Mathieu","UEFA Europa League",2003,6,1,,,""
no-candidates,"Jérémy Mathieu","UEFA Europa League",2004,8,1,,,""
no-candidates,"Jérémy Mathieu","Primeira Liga",2017,29,2,,,""
no-candidates,"Jérémy Mathieu","Primeira Liga",2018,24,3,,,""
no-candidates,"Jérémy Mathieu","Primeira Liga",2019,19,1,,,""
no-candidates,"Jérémy Ménez","UEFA Europa League",2004,6,0,,,""
no-candidates,"Jérémy Ménez","Süper Lig",2017,7,0,,,""
no-candidates,"Jermain Defoe","UEFA Europa League",2006,5,3,,,""
no-candidates,"Jermain Defoe","UEFA Europa League",2007,5,3,,,""
no-candidates,"Jermain Defoe","UEFA Europa League",2008,4,2,,,""
no-candidates,"Jermaine Jenas","UEFA Europa League",2003,10,1,,,""
no-candidates,"Jermaine Jenas","UEFA Europa League",2004,11,0,,,""
no-candidates,"Jermaine Jenas","UEFA Europa League",2006,6,1,,,""
no-candidates,"Jermaine Jenas","UEFA Europa League",2007,7,0,,,""
no-candidates,"Jermaine Jenas","UEFA Europa League",2008,4,0,,,""
no-candidates,"Jermaine Jenas","Championship",2012,6,1,,,""
no-candidates,"Jermaine Jenas","Championship",2013,26,2,,,""
no-candidates,"Jermaine Pennant","Championship",2012,15,0,,,""
no-candidates,"Jermaine Pennant","Championship",2014,13,3,,,""
no-candidates,"Jérôme Boateng","Bundesliga",2024,9,0,,,""
no-candidates,"Jérôme Rothen","UEFA Europa League",2001,4,1,,,""
no-candidates,"Jérôme Rothen","UEFA Europa League",2006,4,0,,,""
no-candidates,"Jérôme Rothen","UEFA Europa League",2008,10,1,,,""
no-candidates,"Jérôme Rothen","Süper Lig",2009,12,0,,,""
no-candidates,"Jesé","Primeira Liga",2019,12,1,,,""
no-candidates,"Jesé","Süper Lig",2022,14,2,,,""
no-candidates,"Joan Capdevila","UEFA Europa League",1999,5,1,,,""
no-candidates,"Joan Capdevila","UEFA Europa League",2007,6,1,,,""
no-candidates,"Joan Capdevila","Primeira Liga",2011,5,0,,,""
no-candidates,"Joane Gadou","Bundesliga",2024,21,0,,,""
no-candidates,"Joane Gadou","Bundesliga",2025,19,0,,,""
no-candidates,"João Cancelo","Primeira Liga",2013,1,0,,,""
no-candidates,"João Mário","Primeira Liga",2012,1,0,,,""
no-candidates,"João Mário","Primeira Liga",2019,2,0,,,""
ambiguous,"João Palhinha","Primeira Liga",2016,11,0,,,"Sporting | Belenenses"
ambiguous,"João Pedro","Primeira Liga",2013,24,8,,,"Desp. Brasil | Estoril"
ambiguous,"João Pedro","Primeira Liga",2014,3,1,,,"Desp. Brasil | Estoril"
no-candidates,"Joaquín","UEFA Europa League",2002,5,1,,,""
no-candidates,"Joaquín","UEFA Europa League",2005,4,0,,,""
no-candidates,"Joaquín","UEFA Europa League",2008,4,1,,,""
no-candidates,"Joaquín","UEFA Champions League",2010,5,1,,,""
no-candidates,"Jobe Bellingham","Championship",2021,2,0,,,""
ambiguous,"Jobe Bellingham","Championship",2023,45,7,,,"Birmingham | Sunderland"
ambiguous,"Joe Allen","Championship",2008,23,1,,,"Swansea | Wrexham"
ambiguous,"Joe Allen","Championship",2022,25,1,,,"Stoke City | Swansea"
ambiguous,"Joe Aribo","Championship",2025,6,0,,,"Southampton | Leicester"
no-candidates,"Joe Cole","UEFA Europa League",1999,2,0,,,""
ambiguous,"Joël Piroe","Championship",2023,42,13,,,"Swansea | Leeds"
no-candidates,"Johan Bakayoko","Eredivisie",2021,3,0,,,""
no-candidates,"Johan Elmander","Eredivisie",2000,16,2,,,""
no-candidates,"Johan Elmander","UEFA Europa League",2000,2,0,,,""
no-candidates,"Johan Elmander","Eredivisie",2001,22,1,,,""
no-candidates,"Johan Elmander","UEFA Europa League",2001,7,0,,,""
no-candidates,"Johan Elmander","UEFA Europa League",2002,4,2,,,""
no-candidates,"Johan Elmander","Eredivisie",2002,1,0,,,""
no-candidates,"Johan Elmander","Eredivisie",2003,31,7,,,""
no-candidates,"Johan Elmander","UEFA Europa League",2003,2,0,,,""
no-candidates,"Johan Elmander","UEFA Europa League",2005,4,1,,,""
no-candidates,"Johan Elmander","UEFA Europa League",2007,4,1,,,""
no-candidates,"Johan Elmander","Süper Lig",2011,30,12,,,""
no-candidates,"Johan Elmander","Süper Lig",2012,16,4,,,""
no-candidates,"John Arne Riise","UEFA Europa League",1998,1,0,,,""
no-candidates,"John Arne Riise","UEFA Europa League",1999,6,1,,,""
no-candidates,"John Arne Riise","UEFA Europa League",2002,5,0,,,""
no-candidates,"John Arne Riise","UEFA Europa League",2003,4,0,,,""
ambiguous,"John Lundstram","Championship",2013,14,2,,,"Yeovil Town | Leyton Orient"
ambiguous,"John Lundstram","Championship",2014,17,0,,,"Blackpool | Leyton Orient | Scunthorpe Utd."
ambiguous,"John Lundstram","Championship",2017,36,3,,,"Oxford United | Sheff Utd"
no-candidates,"John McGinn","Championship",2015,36,3,,,""
no-candidates,"John McGinn","Championship",2016,29,4,,,""
no-candidates,"John O'Shea","Championship",2017,37,1,,,""
no-candidates,"John O'Shea","Championship",2018,9,0,,,""
no-candidates,"John Stones","Championship",2011,2,0,,,""
no-candidates,"John Terry","UEFA Europa League",2001,4,1,,,""
no-candidates,"John Terry","UEFA Europa League",2002,1,1,,,""
no-candidates,"John Terry","Championship",2017,32,1,,,""
no-candidates,"Joleon Lescott","Championship",2004,41,4,,,""
no-candidates,"Joleon Lescott","Championship",2005,46,1,,,""
no-candidates,"Joleon Lescott","UEFA Europa League",2007,10,2,,,""
no-candidates,"Joleon Lescott","UEFA Europa League",2008,2,0,,,""
no-candidates,"Jonjo Shelvey","Championship",2007,2,0,,,""
ambiguous,"Jonjo Shelvey","Süper Lig",2024,6,0,,,"C. Rizespor | Eyüpspor"
no-candidates,"Jordan Teze","Eredivisie",2018,1,0,,,""
no-candidates,"Joris Mathijsen","Eredivisie",1998,1,0,,,""
no-candidates,"Joris Mathijsen","Eredivisie",1999,7,0,,,""
no-candidates,"Joris Mathijsen","Eredivisie",2000,22,1,,,""
no-candidates,"Joris Mathijsen","Eredivisie",2001,31,1,,,""
no-candidates,"Joris Mathijsen","Eredivisie",2002,34,1,,,""
no-candidates,"Joris Mathijsen","Eredivisie",2003,32,3,,,""
no-candidates,"Joris Mathijsen","Eredivisie",2004,25,1,,,""
no-candidates,"Joris Mathijsen","UEFA Europa League",2004,10,3,,,""
no-candidates,"Joris Mathijsen","UEFA Europa League",2005,5,0,,,""
no-candidates,"Joris Mathijsen","Eredivisie",2005,25,0,,,""
no-candidates,"Joris Mathijsen","Eredivisie",2006,1,1,,,""
no-candidates,"Joris Mathijsen","UEFA Europa League",2007,10,0,,,""
no-candidates,"Joris Mathijsen","UEFA Europa League",2008,13,1,,,""
no-candidates,"Joris Mathijsen","Eredivisie",2012,29,0,,,""
no-candidates,"Joris Mathijsen","Eredivisie",2013,20,1,,,""
no-candidates,"Joris Mathijsen","Eredivisie",2014,8,0,,,""
ambiguous,"José Fonte","UEFA Europa League",2005,2,0,,,"Felgueiras | Vitória Setúbal | Benfica | Paços Ferreira"
ambiguous,"José Fonte","Primeira Liga",2005,11,1,,,"Felgueiras | Vitória Setúbal | Benfica | Paços Ferreira"
ambiguous,"José Fonte","Primeira Liga",2006,25,1,,,"Benfica | CF Estrela"
no-candidates,"José Jurado Marín","UEFA Europa League",2007,5,1,,,""
no-candidates,"José Jurado Marín","La Liga",2010,1,1,,,""
no-candidates,"José Jurado Marín","UEFA Champions League",2010,11,3,,,""
no-candidates,"José Jurado Marín","Bundesliga",2010,28,3,,,""
no-candidates,"José Jurado Marín","Bundesliga",2011,18,0,,,""
no-candidates,"José Jurado Marín","UEFA Champions League",2012,5,0,,,""
no-candidates,"José Jurado Marín","Premier League",2015,27,0,,,""
no-candidates,"José Jurado Marín","La Liga",2016,31,3,,,""
no-candidates,"José Jurado Marín","La Liga",2017,29,0,,,""
no-candidates,"José Jurado Marín","Saudi Pro League",2018,17,1,,,""
ambiguous,"Josh Brownhill","Championship",2015,3,0,,,"Preston | Barnsley"
unknown-club,"Josh Brownhill","Saudi Pro League",2025,30,5,,,"Al-Shabab"
ambiguous,"Joshua King","Championship",2010,8,0,,,"Man Utd Res. | Preston"
ambiguous,"Joshua King","Championship",2012,16,2,,,"Man Utd Res. | Blackburn"
unknown-club,"Joshua King","Saudi Pro League",2025,29,20,,,"Al-Khaleej"
ambiguous,"Jota Silva","Primeira Liga",2022,30,2,,,"Casa Pia | Vit. Guimarães"
no-candidates,"Juanfran","La Liga",1997,20,0,,,""
no-candidates,"Juanfran","UEFA Europa League",1998,1,0,,,""
no-candidates,"Juanfran","La Liga",1998,21,0,,,""
no-candidates,"Juanfran","UEFA Europa League",1999,10,1,,,""
no-candidates,"Juanfran","La Liga",1999,27,2,,,""
no-candidates,"Juanfran","La Liga",2000,28,2,,,""
no-candidates,"Juanfran","UEFA Europa League",2000,6,0,,,""
no-candidates,"Juanfran","La Liga",2001,25,0,,,""
no-candidates,"Juanfran","UEFA Europa League",2001,2,0,,,""
no-candidates,"Juanfran","La Liga",2002,25,1,,,""
no-candidates,"Juanfran","UEFA Europa League",2002,6,0,,,""
no-candidates,"Juanfran","La Liga",2003,21,1,,,""
no-candidates,"Juanfran","Süper Lig",2004,13,1,,,""
no-candidates,"Juanfran","UEFA Europa League",2004,6,0,,,""
no-candidates,"Juanfran","Eredivisie",2005,16,0,,,""
no-candidates,"Juanfran","UEFA Champions League",2005,3,0,,,""
no-candidates,"Juanfran","La Liga",2006,34,0,,,""
no-candidates,"Juanfran","UEFA Europa League",2007,2,0,,,""
no-candidates,"Juanfran","La Liga",2007,28,0,,,""
no-candidates,"Juanfran","La Liga",2010,23,0,,,""
no-candidates,"Juanfran","La Liga",2011,29,0,,,""
no-candidates,"Juanfran","La Liga",2012,29,0,,,""
no-candidates,"Juanfran","La Liga",2013,35,0,,,""
no-candidates,"Juanfran","La Liga",2014,17,0,,,""
no-candidates,"Juanfran","La Liga",2015,20,0,,,""
no-candidates,"Juanfran Torres","La Liga",2003,5,0,,,""
no-candidates,"Juanfran Torres","La Liga",2004,1,0,,,""
no-candidates,"Juanfran Torres","La Liga",2005,30,1,,,""
no-candidates,"Juanfran Torres","UEFA Europa League",2005,3,0,,,""
no-candidates,"Juanfran Torres","La Liga",2006,28,2,,,""
no-candidates,"Juanfran Torres","UEFA Europa League",2006,9,1,,,""
no-candidates,"Juanfran Torres","La Liga",2007,34,3,,,""
no-candidates,"Juanfran Torres","La Liga",2008,35,2,,,""
no-candidates,"Juanfran Torres","La Liga",2009,33,4,,,""
no-candidates,"Juan Iturbe","Primeira Liga",2011,4,0,,,""
no-candidates,"Juan Iturbe","Primeira Liga",2012,1,0,,,""
no-candidates,"Juan Iturbe","Primeira Liga",2013,1,0,,,""
no-candidates,"Juan Valera","UEFA Europa League",2008,4,1,,,""
no-candidates,"Juan Valerón","UEFA Europa League",1998,5,0,,,""
no-candidates,"Juan Valerón","UEFA Europa League",1999,6,0,,,""
no-candidates,"Juan Valerón","UEFA Europa League",2008,8,0,,,""
no-candidates,"Juan Vargas Risco","Serie A",2010,24,4,,,""
no-candidates,"Juan Vargas Risco","Serie A",2011,24,0,,,""
no-candidates,"Juan Vargas Risco","Serie A",2012,20,0,,,""
no-candidates,"Juan Vargas Risco","Serie A",2013,24,4,,,""
no-candidates,"Juan Vargas Risco","Serie A",2014,19,1,,,""
no-candidates,"Juan Vargas Risco","La Liga",2015,20,2,,,""
no-candidates,"Julian Draxler","Primeira Liga",2022,10,1,,,""
unknown-club,"Julian Weigl","Saudi Pro League",2025,25,1,,,"Al-Qadsiah"
no-candidates,"Julien Escudé","Eredivisie",2003,31,1,,,""
no-candidates,"Julien Escudé","Eredivisie",2004,28,5,,,""
no-candidates,"Julien Escudé","UEFA Europa League",2004,2,0,,,""
no-candidates,"Julien Escudé","Eredivisie",2005,2,0,,,""
no-candidates,"Julien Escudé","UEFA Europa League",2005,7,0,,,""
no-candidates,"Julien Escudé","UEFA Europa League",2006,12,0,,,""
no-candidates,"Julien Escudé","UEFA Europa League",2008,5,0,,,""
no-candidates,"Julien Escudé","Süper Lig",2012,14,0,,,""
no-candidates,"Julien Escudé","Süper Lig",2013,11,2,,,""
no-candidates,"Júlio Baptista","UEFA Europa League",2004,8,5,,,""
no-candidates,"Jürgen Locadia","Eredivisie",2012,15,6,,,""
no-candidates,"Jürgen Locadia","Eredivisie",2013,31,13,,,""
no-candidates,"Jürgen Locadia","Eredivisie",2014,23,6,,,""
no-candidates,"Jürgen Locadia","Eredivisie",2015,29,8,,,""
no-candidates,"Jürgen Locadia","Eredivisie",2016,14,3,,,""
no-candidates,"Jürgen Locadia","Eredivisie",2017,15,9,,,""
no-candidates,"Jurriën Timber","Eredivisie",2019,1,0,,,""
no-candidates,"Kalvin Phillips","Championship",2014,2,1,,,""
no-candidates,"Karim Adeyemi","Bundesliga",2020,29,7,,,""
no-candidates,"Karim Adeyemi","Bundesliga",2021,29,19,,,""
no-candidates,"Karim Rekik","Championship",2011,8,0,,,""
no-candidates,"Karim Rekik","Championship",2012,5,0,,,""
no-candidates,"Karim Rekik","Eredivisie",2013,25,1,,,""
no-candidates,"Karim Rekik","Eredivisie",2014,29,1,,,""
no-candidates,"Karl Toko Ekambi","Saudi Pro League",2023,15,6,,,""
no-candidates,"Karl Toko Ekambi","Saudi Pro League",2024,24,1,,,""
no-candidates,"Karl Toko Ekambi","Saudi Pro League",2025,7,0,,,""
no-candidates,"Keisuke Honda","Eredivisie",2007,14,2,,,""
no-candidates,"Keisuke Honda","Eredivisie",2009,18,6,,,""
no-candidates,"Keisuke Honda","Eredivisie",2019,4,0,,,""
no-candidates,"Kemar Roofe","Championship",2024,3,0,,,""
ambiguous,"Kerem Demirbay","Süper Lig",2025,11,1,,,"Galatasaray | Kasimpasa"
no-candidates,"Kerim Alajbegovic","Bundesliga",2025,28,9,,,""
ambiguous,"Kevin Kampl","Bundesliga",2012,23,4,,,"VfL Osnabrück | VfR Aalen"
no-candidates,"Kevin Kampl","Bundesliga",2013,33,9,,,""
no-candidates,"Kevin Kuranyi","UEFA Europa League",2002,8,4,,,""
no-candidates,"Kevin Kuranyi","UEFA Europa League",2004,6,3,,,""
no-candidates,"Kevin Kuranyi","UEFA Europa League",2005,6,1,,,""
no-candidates,"Kevin Kuranyi","UEFA Europa League",2006,2,0,,,""
no-candidates,"Kevin Kuranyi","UEFA Europa League",2008,5,1,,,""
no-candidates,"Kévin Malcuit","Süper Lig",2022,20,1,,,""
no-candidates,"Kevin Mirallas","UEFA Europa League",2004,1,0,,,""
no-candidates,"Kevin Mirallas","UEFA Europa League",2005,1,0,,,""
no-candidates,"Kevin Mirallas","UEFA Europa League",2008,8,1,,,""
no-candidates,"Kevin Mirallas","Süper Lig",2020,28,5,,,""
no-candidates,"Kevin Mirallas","Primeira Liga",2021,8,1,,,""
no-candidates,"Kevin Phillips","UEFA Europa League",2003,2,1,,,""
no-candidates,"Kevin Phillips","Championship",2006,36,16,,,""
no-candidates,"Kevin Phillips","Championship",2007,35,22,,,""
no-candidates,"Kevin Phillips","Championship",2008,36,14,,,""
no-candidates,"Kevin Phillips","Championship",2011,38,16,,,""
no-candidates,"Kevin Phillips","Championship",2012,14,6,,,""
no-candidates,"Kevin Phillips","Championship",2013,12,2,,,""
no-candidates,"Kevin-Prince Boateng","UEFA Europa League",2005,4,0,,,""
no-candidates,"Kevin-Prince Boateng","UEFA Europa League",2006,2,1,,,""
no-candidates,"Kevin-Prince Boateng","UEFA Europa League",2007,3,0,,,""
no-candidates,"Kevin-Prince Boateng","Süper Lig",2019,11,3,,,""
no-candidates,"Kevin Thomson","UEFA Europa League",2005,2,0,,,""
no-candidates,"Kevin Thomson","UEFA Europa League",2006,3,0,,,""
no-candidates,"Kevin Thomson","UEFA Europa League",2007,4,0,,,""
no-candidates,"Kevin Thomson","Championship",2010,19,0,,,""
no-candidates,"Kevin Thomson","Championship",2011,22,0,,,""
no-candidates,"Kevin Thomson","Championship",2012,9,0,,,""
no-candidates,"Kevin Thomson","Championship",2015,5,0,,,""
ambiguous,"Kieran Trippier","Championship",2009,3,0,,,"Man City Res. | Barnsley"
ambiguous,"Kieran Trippier","Championship",2010,39,2,,,"Man City Res. | Barnsley"
ambiguous,"Kieran Trippier","Championship",2011,46,3,,,"Man City Res. | Burnley"
no-candidates,"Kieron Dyer","UEFA Europa League",1999,3,0,,,""
no-candidates,"Kieron Dyer","UEFA Europa League",2003,5,0,,,""
no-candidates,"Kieron Dyer","UEFA Europa League",2004,7,2,,,""
no-candidates,"Kieron Dyer","UEFA Europa League",2006,4,1,,,""
no-candidates,"Kieron Dyer","Championship",2010,4,0,,,""
no-candidates,"Kieron Dyer","Championship",2012,9,2,,,""
no-candidates,"Klaas-Jan Huntelaar","Eredivisie",2002,9,0,,,""
no-candidates,"Klaas-Jan Huntelaar","UEFA Europa League",2004,7,3,,,""
no-candidates,"Klaas-Jan Huntelaar","Eredivisie",2004,31,16,,,""
no-candidates,"Klaas-Jan Huntelaar","UEFA Champions League",2005,2,1,,,""
no-candidates,"Klaas-Jan Huntelaar","Eredivisie",2005,16,16,,,""
no-candidates,"Klaas-Jan Huntelaar","UEFA Europa League",2005,6,2,,,""
no-candidates,"Klaas-Jan Huntelaar","Eredivisie",2006,32,21,,,""
no-candidates,"Klaas-Jan Huntelaar","UEFA Europa League",2006,7,7,,,""
no-candidates,"Klaas-Jan Huntelaar","UEFA Europa League",2007,2,2,,,""
no-candidates,"Klaas-Jan Huntelaar","Eredivisie",2007,34,33,,,""
no-candidates,"Klaas-Jan Huntelaar","UEFA Europa League",2008,4,2,,,""
no-candidates,"Klaas-Jan Huntelaar","Eredivisie",2008,10,6,,,""
no-candidates,"Klaas-Jan Huntelaar","Eredivisie",2017,28,13,,,""
no-candidates,"Klaas-Jan Huntelaar","Eredivisie",2018,28,16,,,""
no-candidates,"Klaas-Jan Huntelaar","Eredivisie",2019,18,9,,,""
no-candidates,"Klaas-Jan Huntelaar","Eredivisie",2020,11,7,,,""
no-candidates,"Konrad Laimer","Bundesliga",2015,18,1,,,""
no-candidates,"Konrad Laimer","Bundesliga",2016,31,3,,,""
no-candidates,"Konstantinos Tsimikas","Eredivisie",2017,33,3,,,""
no-candidates,"Konstantin Zyryanov","UEFA Europa League",2000,1,0,,,""
no-candidates,"Konstantin Zyryanov","UEFA Europa League",2001,2,0,,,""
no-candidates,"Konstantin Zyryanov","UEFA Europa League",2003,4,0,,,""
no-candidates,"Konstantin Zyryanov","UEFA Europa League",2007,15,3,,,""
no-candidates,"Konstantin Zyryanov","UEFA Europa League",2008,4,0,,,""
no-candidates,"Konstantin Zyryanov","UEFA Champions League",2011,8,1,,,""
no-candidates,"Konstantin Zyryanov","UEFA Champions League",2012,4,0,,,""
no-candidates,"Konstantin Zyryanov","UEFA Champions League",2013,4,0,,,""
no-candidates,"Kris Boyd","UEFA Europa League",2006,9,3,,,""
no-candidates,"Kris Boyd","UEFA Europa League",2007,2,0,,,""
no-candidates,"Kris Boyd","Championship",2010,10,6,,,""
no-candidates,"Kris Boyd","Süper Lig",2011,2,0,,,""
no-candidates,"Kris Boyd","Championship",2014,29,3,,,""
no-candidates,"Kurt Zouma","Saudi Pro League",2024,19,1,,,""
no-candidates,"Kwadwo Asamoah","UEFA Europa League",2008,6,0,,,""
ambiguous,"Kyle Walker","Championship",2008,2,0,,,"Sheff Utd | Northampton"
no-candidates,"Lassana Diarra","UEFA Europa League",2008,2,1,,,""
ambiguous,"Lasse Schöne","Eredivisie",2021,33,2,,,"Heerenveen | NEC Nijmegen"
unknown-club,"Lazar Markovic","Süper Lig",2023,30,3,,,"Gaziantep FK"
no-candidates,"Lee Cattermole","UEFA Europa League",2005,5,0,,,""
no-candidates,"Lee Cattermole","Championship",2017,35,1,,,""
no-candidates,"Lee Cattermole","Eredivisie",2019,11,0,,,""
no-candidates,"Lee McCulloch","Championship",2004,42,14,,,""
no-candidates,"Lee McCulloch","UEFA Europa League",2007,6,0,,,""
no-candidates,"Lee McCulloch","Championship",2014,31,4,,,""
ambiguous,"Léo Dubois","Süper Lig",2023,30,1,,,"Galatasaray | Basaksehir"
no-candidates,"Leopold Querfeld","Bundesliga",2021,3,0,,,""
no-candidates,"Leopold Querfeld","Bundesliga",2022,23,1,,,""
ambiguous,"Liam Delap","Championship",2022,15,1,,,"Stoke City | Preston"
no-candidates,"Liedson","Primeira Liga",2003,30,15,,,""
no-candidates,"Liedson","UEFA Europa League",2003,4,3,,,""
no-candidates,"Liedson","UEFA Europa League",2004,14,9,,,""
no-candidates,"Liedson","Primeira Liga",2004,31,24,,,""
no-candidates,"Liedson","Primeira Liga",2005,31,15,,,""
no-candidates,"Liedson","Primeira Liga",2006,28,15,,,""
no-candidates,"Liedson","Primeira Liga",2007,26,11,,,""
no-candidates,"Liedson","UEFA Europa League",2007,5,2,,,""
no-candidates,"Liedson","Primeira Liga",2008,26,17,,,""
no-candidates,"Liedson","Primeira Liga",2009,28,13,,,""
no-candidates,"Liedson","Primeira Liga",2010,14,5,,,""
no-candidates,"Liedson","Primeira Liga",2012,6,0,,,""
no-candidates,"Lisandro López","Primeira Liga",2005,26,7,,,""
no-candidates,"Lisandro López","Primeira Liga",2006,25,8,,,""
no-candidates,"Lisandro López","Primeira Liga",2007,27,24,,,""
no-candidates,"Lisandro López","Primeira Liga",2008,28,10,,,""
no-candidates,"Ljubomir Fejsa","UEFA Europa League",2008,4,0,,,""
no-candidates,"Ljubomir Fejsa","Primeira Liga",2013,16,0,,,""
no-candidates,"Ljubomir Fejsa","Primeira Liga",2014,5,1,,,""
no-candidates,"Ljubomir Fejsa","Primeira Liga",2015,19,0,,,""
no-candidates,"Ljubomir Fejsa","Primeira Liga",2016,25,0,,,""
no-candidates,"Ljubomir Fejsa","Primeira Liga",2017,28,0,,,""
no-candidates,"Ljubomir Fejsa","Primeira Liga",2018,18,0,,,""
no-candidates,"Ljubomir Fejsa","Primeira Liga",2019,3,0,,,""
no-candidates,"Ljubomir Fejsa","Saudi Pro League",2020,22,1,,,""
no-candidates,"Ljubomir Fejsa","Saudi Pro League",2021,1,0,,,""
no-candidates,"Loïc Rémy","Süper Lig",2020,19,7,,,""
no-candidates,"Loïc Rémy","Süper Lig",2021,2,0,,,""
no-candidates,"Louis Saha","UEFA Europa League",1997,3,0,,,""
no-candidates,"Louis Saha","UEFA Europa League",1998,2,0,,,""
no-candidates,"Louis Saha","UEFA Europa League",2008,1,0,,,""
no-candidates,"Lucas Biglia","UEFA Europa League",2007,10,0,,,""
no-candidates,"Lucas Biglia","Süper Lig",2020,35,3,,,""
no-candidates,"Lucas Biglia","Süper Lig",2021,33,1,,,""
no-candidates,"Lucas Biglia","Süper Lig",2022,25,0,,,""
no-candidates,"Luca Toni","UEFA Europa League",2007,11,10,,,""
ambiguous,"Luciano Vietto","Saudi Pro League",2021,7,2,,,"Al-Hilal | Al-Shabab"
no-candidates,"Lúcio","UEFA Europa League",2007,13,2,,,""
no-candidates,"Ludovic Giuly","Ligue 1",1994,8,0,,,""
no-candidates,"Ludovic Giuly","UEFA Europa League",1995,6,1,,,""
no-candidates,"Ludovic Giuly","UEFA Europa League",1997,4,3,,,""
no-candidates,"Ludovic Giuly","UEFA Europa League",1998,6,3,,,""
no-candidates,"Ludovic Giuly","UEFA Europa League",1999,7,2,,,""
no-candidates,"Ludovic Giuly","UEFA Europa League",2008,4,0,,,""
ambiguous,"Luis Suárez","UEFA Europa League",2006,2,1,,,"Nacional | FC Groningen"
ambiguous,"Luis Suárez","Eredivisie",2006,29,10,,,"Nacional | FC Groningen"
no-candidates,"Luiz Adriano","UEFA Champions League",2008,5,0,,,""
no-candidates,"Luiz Adriano","UEFA Europa League",2008,8,3,,,""
no-candidates,"Luiz Adriano","UEFA Champions League",2010,10,4,,,""
no-candidates,"Luiz Adriano","Süper Lig",2021,15,4,,,""
no-candidates,"Luiz Adriano","Süper Lig",2022,19,2,,,""
no-candidates,"Luka Sucic","Bundesliga",2021,28,8,,,""
no-candidates,"Luka Sucic","Bundesliga",2022,15,0,,,""
no-candidates,"Luka Sucic","Bundesliga",2023,22,3,,,""
